,logFC,adj.P.Val
ENSMUSG00000034997,-0.159399066486499,0.33568436025157
ENSMUSG00000029868,0.0310834348404866,0.919357588814164
ENSMUSG00000027855,2.64026298961775,4.91734221065272e-06
ENSMUSG00000083773,2.59765962981434,0.0002686474309139
ENSMUSG00000041449,1.0912710726049,0.0004586774083875
ENSMUSG00000093880,2.02234966128281,0.0009667481447031
ENSMUSG00000092444,1.50702044184245,0.0018515332772586
ENSMUSG00000072324,1.46646625263077,0.0031104335886897
ENSMUSG00000049123,1.01653632145354,0.0093809869268152
ENSMUSG00000084403,1.36886868470579,0.0102400441065135
ENSMUSG00000088025,1.64784210942525,0.0136713608966489
ENSMUSG00000035459,1.11946623924872,0.0242965232805345
ENSMUSG00000097554,1.13068955066008,0.0371432986681672
